"condition","treatment","timepoint","EntrezID","logfc","pval","fdr"
"Ace_6","Ace","6h",362417,-0.748508017375384,4.25633256103506e-05,0.000216369766305638
"Ace_6","Ace","6h",362424,-1.27666731637266,1.25543846863709e-09,1.54191151667039e-08
"Ace_6","Ace","6h",362436,-0.857341313689961,1.94879590120987e-12,3.97237752748018e-11
"Ace_6","Ace","6h",362438,-0.505392966684217,9.60847171245027e-15,2.79125144317368e-13
"Ace_6","Ace","6h",362447,-0.50786090415046,2.09288012002188e-05,0.000113275482583854
"Ace_6","Ace","6h",362456,-0.369270208234391,0.000507376393334487,0.00195508499565532
"Ace_6","Ace","6h",362464,-1.67613479914599,1.36367691266556e-10,2.04607770999325e-09
"Ace_6","Ace","6h",362481,-1.20719743131872,1.54304613176218e-20,9.72185861544018e-19
"Ace_6","Ace","6h",362489,-0.773803519190261,4.69359202718811e-14,1.21549000647146e-12
"Ace_6","Ace","6h",362495,-0.320789465677605,0.000179163551178151,0.000776047598895124
"Ace_6","Ace","6h",362516,-0.244558452739847,4.52281730650091e-06,2.82147805738595e-05
"Ace_6","Ace","6h",362518,-0.477999887186984,3.22993526445565e-15,1.01311374652775e-13
"Ace_6","Ace","6h",362524,-0.529957600092606,2.05747701396828e-14,5.71460314146838e-13
"Ace_6","Ace","6h",362530,-0.39689212940102,6.0496530071404e-05,0.000296453366551924
"Ace_6","Ace","6h",362535,-0.840841269674428,3.03879602222722e-05,0.000159249514213163
"Ace_6","Ace","6h",362537,-0.329652667125411,1.80722091899805e-07,1.49785269106479e-06
"Ace_6","Ace","6h",362540,-0.755060328283352,4.62449662266872e-05,0.00023345447050406
"Ace_6","Ace","6h",362550,-0.62756579896862,1.95453962067425e-07,1.60804802935517e-06
"Ace_6","Ace","6h",362566,-0.363230276901657,8.609268522881e-27,1.12164443392814e-24
"Ace_6","Ace","6h",362575,-0.272265040587118,0.0015953086692123,0.00537580976423149
"Ace_6","Ace","6h",362581,-0.283397320834824,0.000451198403354608,0.00175628284632869
"Ace_6","Ace","6h",362598,-0.530429419800101,0.00197101919767598,0.00647252107467876
"Ace_6","Ace","6h",362606,-0.679379104661141,3.49078642874355e-24,3.38699371226224e-22
"Ace_6","Ace","6h",362619,-0.417400638949623,9.91355906733265e-05,0.000460082712582779
"Ace_6","Ace","6h",362628,-0.238348738370637,0.00179067025301038,0.00594466579888527
"Ace_6","Ace","6h",362648,-0.919633087335125,1.27331391724724e-09,1.56123089735605e-08
"Ace_6","Ace","6h",362650,-0.957003729671222,2.34107263625742e-26,2.83933092900754e-24
"Ace_6","Ace","6h",362657,-0.464989243109344,4.86976310422496e-07,3.69330548300625e-06
"Ace_6","Ace","6h",362666,-0.210731293434551,7.72821437140124e-05,0.000369380728937188
"Ace_6","Ace","6h",362667,-0.228430182996071,0.00235134581191216,0.00753790150575733
"Ace_6","Ace","6h",362691,-1.57373669122743,1.34447360430959e-10,2.02561789204159e-09
"Ace_6","Ace","6h",362702,-0.246972151425253,0.000440275226955119,0.001719282439792
"Ace_6","Ace","6h",362733,-0.66639147565407,3.64724927124049e-11,6.04579338196288e-10
"Ace_6","Ace","6h",362734,-0.63337242563372,2.61294298702477e-08,2.53356244058351e-07
"Ace_6","Ace","6h",362760,-0.409031425507693,0.00212637049949418,0.00692176163042683
"Ace_6","Ace","6h",362762,-0.238182532874979,0.000245781543064974,0.00102407803543305
"Ace_6","Ace","6h",362768,-0.231203141584209,0.000814248048193743,0.00296277106342975
"Ace_6","Ace","6h",362770,-0.385675007568755,9.72651440938733e-06,5.66692116550133e-05
"Ace_6","Ace","6h",362781,-0.73523408705707,4.23821919829721e-08,3.97186363245445e-07
"Ace_6","Ace","6h",362800,-0.50836388914331,1.81766131140465e-05,0.000100167522628486
"Ace_6","Ace","6h",362826,-0.457668696662082,0.00308471209354183,0.00953992771130638
"Ace_6","Ace","6h",362829,-0.246138133357634,0.000419744002796468,0.00164750653093306
"Ace_6","Ace","6h",362850,-0.877272006474957,1.53777949096619e-10,2.267562584754e-09
"Ace_6","Ace","6h",362859,-0.401607772255769,4.81135257209909e-10,6.44198945118032e-09
"Ace_6","Ace","6h",362871,-0.679531895997208,1.95265648224977e-17,8.58578925760217e-16
"Ace_6","Ace","6h",362896,-0.77239875056988,5.73424961640581e-29,9.17101856232638e-27
"Ace_6","Ace","6h",362930,-0.466021571951151,9.63209304941417e-11,1.48031132250448e-09
"Ace_6","Ace","6h",362946,-0.15775847348887,0.00129038857491912,0.00446300268996505
"Ace_6","Ace","6h",362950,-0.194843598938542,0.00211744012704223,0.00689731951857041
"Ace_6","Ace","6h",362955,-0.458948969672689,5.16794347351749e-07,3.89071646878594e-06
