"condition","treatment","timepoint","EntrezID","logfc","pval","fdr"
"5FU_24","5FU","24h",311839,0.702892037825571,1.75187209889497e-21,2.19421226568996e-20
"5FU_24","5FU","24h",311846,0.65224986492564,1.61839580484971e-21,2.03228063363095e-20
"5FU_24","5FU","24h",311847,0.159282953582458,0.00482531119014024,0.00874782997774053
"5FU_24","5FU","24h",311849,0.491224950078516,6.01685526018738e-12,3.11634560344367e-11
"5FU_24","5FU","24h",311854,0.505679298265806,8.4884647016457e-25,1.39752392836823e-23
"5FU_24","5FU","24h",311855,1.00040903304077,1.05543756322346e-52,1.13783987371513e-50
"5FU_24","5FU","24h",311856,0.506005063453881,2.80827649836797e-11,1.36057443932248e-10
"5FU_24","5FU","24h",311864,0.484384572711924,4.03854308636053e-20,4.52130431376085e-19
"5FU_24","5FU","24h",311865,0.283497993951313,3.62320930634876e-05,8.9014497374409e-05
"5FU_24","5FU","24h",311866,0.252023239765376,0.00175435613884985,0.00341212070624359
"5FU_24","5FU","24h",311872,0.713186581243432,1.50918607310313e-11,7.49392497712145e-11
"5FU_24","5FU","24h",311909,0.646020230290605,4.37026622152486e-20,4.88141631527803e-19
"5FU_24","5FU","24h",311910,0.575773407088749,3.19227097922771e-09,1.24525092017368e-08
"5FU_24","5FU","24h",311911,0.361120245929429,3.40020396883817e-18,3.18446387145887e-17
"5FU_24","5FU","24h",311944,0.233299354776885,0.000236209024878793,0.00052301630124539
"5FU_24","5FU","24h",311959,0.49983765168977,2.22128393789408e-20,2.5375640841531e-19
"5FU_24","5FU","24h",312054,0.301955441963325,0.000199944197528283,0.000447208829080471
"5FU_24","5FU","24h",312154,0.397782846851842,7.58523306301939e-07,2.3143706918068e-06
"5FU_24","5FU","24h",312182,0.5672249121534,2.71632921910494e-22,3.62359811685182e-21
"5FU_24","5FU","24h",312192,0.545457554983162,2.29503238530858e-12,1.24494600580623e-11
"5FU_24","5FU","24h",312303,0.212089830128601,0.00121082302191098,0.00242050823032297
"5FU_24","5FU","24h",312371,0.385632952240837,6.57805521838492e-05,0.000156560941371012
"5FU_24","5FU","24h",312372,0.374723081029453,4.40575007445528e-13,2.54550562062811e-12
"5FU_24","5FU","24h",312381,0.354008515709023,8.3240468588552e-07,2.52655219987025e-06
"5FU_24","5FU","24h",312439,0.20263252354417,0.000571688222163792,0.00120218904571187
"5FU_24","5FU","24h",312440,0.184831158116214,0.00425419566794654,0.00778812122657786
"5FU_24","5FU","24h",312474,0.441934398252649,2.09851787059145e-06,6.05628179428672e-06
"5FU_24","5FU","24h",312502,0.238105452221883,0.00321227280140969,0.00600454897915703
"5FU_24","5FU","24h",312503,0.375968311106623,8.6950086878111e-06,2.31432253918074e-05
"5FU_24","5FU","24h",312560,0.348302063167883,9.74370910607921e-11,4.48340001042924e-10
"5FU_24","5FU","24h",312563,0.304056054874439,0.00146310102524808,0.00288340857433454
"5FU_24","5FU","24h",312634,0.258049852363188,5.9663262115394e-07,1.84399897393809e-06
"5FU_24","5FU","24h",312640,0.307970235134434,5.65342275696444e-09,2.15731292094548e-08
"5FU_24","5FU","24h",312641,0.363922477508969,0.000687000393792027,0.00142552091976749
"5FU_24","5FU","24h",312651,0.650873680196865,2.02677212586399e-21,2.52764708824546e-20
"5FU_24","5FU","24h",312670,0.381918289961216,4.60895741190822e-10,1.98340526827062e-09
"5FU_24","5FU","24h",312677,0.323643114469008,0.000349318459062538,0.000754299829851065
"5FU_24","5FU","24h",312678,0.552426757810947,2.54514070786314e-17,2.22656075927559e-16
"5FU_24","5FU","24h",312679,0.392282569075956,4.17210241874716e-12,2.19525591476667e-11
"5FU_24","5FU","24h",312680,1.13460059398423,5.89895208483842e-58,8.41699496497435e-56
"5FU_24","5FU","24h",312689,0.834328108807864,0.00178906576035501,0.00347684111045625
"5FU_24","5FU","24h",312694,0.373544765390185,4.42572769657145e-12,2.32366669898632e-11
"5FU_24","5FU","24h",312703,0.224423315516824,0.00486967911784411,0.0088161848340718
"5FU_24","5FU","24h",312709,0.672432267203205,7.21111841989501e-58,1.01893803381701e-55
"5FU_24","5FU","24h",312787,0.733582686615413,0.00107528808193616,0.0021702597066286
"5FU_24","5FU","24h",312800,0.266211941475541,0.00368669770247948,0.00682128125627845
"5FU_24","5FU","24h",312826,0.15335944870965,0.00363214211730807,0.00672889465062393
"5FU_24","5FU","24h",312828,0.195096002615619,0.0032418193250543,0.00605200595906108
"5FU_24","5FU","24h",312846,0.226886764651235,0.0021871206913137,0.00419883320688295
"5FU_24","5FU","24h",312849,0.384530049972535,2.64740787729924e-05,6.62536179660605e-05
"5FU_24","5FU","24h",312916,0.521908242259114,9.76105346563133e-16,7.41840063387981e-15
"5FU_24","5FU","24h",312927,0.375228029757001,3.1389479319659e-05,7.77339598465743e-05
