"condition","treatment","timepoint","EntrezID","logfc","pval","fdr"
"Ace_24","Ace","24h",360243,1.56633315949275,2.82795633503815e-59,1.11238044594987e-56
"Ace_24","Ace","24h",360254,1.39731620123675,5.88969779592173e-20,1.5500662155849e-18
"Ace_24","Ace","24h",360477,0.214468444656808,4.74040852291017e-11,4.71256186082204e-10
"Ace_24","Ace","24h",360479,0.81124153310338,0.000171917845982848,0.000617495639297721
"Ace_24","Ace","24h",360483,0.673862285277098,1.64428673571478e-06,8.55593462695492e-06
"Ace_24","Ace","24h",360488,0.217608228520508,1.37520982738585e-08,1.01135946577936e-07
"Ace_24","Ace","24h",360505,0.325806217982094,1.61815197430859e-08,1.17635283886549e-07
"Ace_24","Ace","24h",360514,0.208391985624792,2.39005763177179e-05,0.000102098323371901
"Ace_24","Ace","24h",360531,0.242690801794468,6.11995922718035e-05,0.000242433006511657
"Ace_24","Ace","24h",360533,0.594353353256023,1.40658653450328e-52,3.7910111894742e-50
"Ace_24","Ace","24h",360534,0.166402921877914,0.00213283911103094,0.0060274447421251
"Ace_24","Ace","24h",360537,0.24238200415879,0.000369612347301603,0.00123691379687918
"Ace_24","Ace","24h",360554,0.175450534018953,0.000893476129871742,0.00274860528305926
"Ace_24","Ace","24h",360588,1.43430083559598,4.32597988091888e-44,6.62740117756773e-42
"Ace_24","Ace","24h",360589,0.407901911988032,1.30189513434316e-07,8.22386362206181e-07
"Ace_24","Ace","24h",360591,1.36538972749273,1.39970466221241e-30,8.28101693245506e-29
"Ace_24","Ace","24h",360592,0.686767422684465,1.71013476194884e-22,5.30688727620543e-21
"Ace_24","Ace","24h",360595,0.330716921890571,1.21986613020992e-06,6.50089039145922e-06
"Ace_24","Ace","24h",360600,0.155112103343459,0.00233809430104097,0.00652389272571898
"Ace_24","Ace","24h",360617,0.867631716781967,6.71930742896097e-27,3.11442039239165e-25
"Ace_24","Ace","24h",360618,0.221335460576021,1.86761584901724e-05,8.13810810377155e-05
"Ace_24","Ace","24h",360621,1.37810230794854,1.39199410851474e-30,8.26901316543818e-29
"Ace_24","Ace","24h",360632,0.240066986167104,2.22635584203547e-06,1.13453721726135e-05
"Ace_24","Ace","24h",360636,0.206963088900144,7.34571197996796e-05,0.000285876891382575
"Ace_24","Ace","24h",360640,0.345014304438771,0.000123990343126485,0.000460815999454253
"Ace_24","Ace","24h",360650,0.253012558097911,3.49489720634018e-09,2.79016642573094e-08
"Ace_24","Ace","24h",360659,0.23079105347289,0.000147183075128206,0.00053781131695102
"Ace_24","Ace","24h",360664,0.317830110064374,5.02403768579275e-05,0.000202379862936694
"Ace_24","Ace","24h",360670,0.42640553978702,1.12409227070517e-09,9.57847711232028e-09
"Ace_24","Ace","24h",360681,0.313999213591681,7.36649655960672e-09,5.62792603299297e-08
"Ace_24","Ace","24h",360711,1.53311692887855,7.28006276902911e-32,4.73009078305579e-30
"Ace_24","Ace","24h",360738,0.2927477142098,4.16095956609851e-05,0.000170539581878338
"Ace_24","Ace","24h",360741,0.192938887041292,0.000279041107044163,0.000961905322577155
"Ace_24","Ace","24h",360762,0.178015746887859,0.00262381247550741,0.00724335484987384
"Ace_24","Ace","24h",360763,0.207351074635614,0.00305002483927494,0.00828327328061344
"Ace_24","Ace","24h",360779,0.2128059879237,0.00143631351379942,0.00422561287241497
"Ace_24","Ace","24h",360792,0.647673169099346,1.87240560248999e-08,1.34705838549873e-07
"Ace_24","Ace","24h",360793,0.526044747974235,1.05632246198887e-11,1.14048346526603e-10
"Ace_24","Ace","24h",360797,0.261539017766871,0.000145654946375494,0.000532628665715814
"Ace_24","Ace","24h",360799,0.76646153766894,1.08255898343766e-13,1.49341833601439e-12
"Ace_24","Ace","24h",360800,0.604148487238159,4.9321316120428e-21,1.39112874964479e-19
"Ace_24","Ace","24h",360815,0.220317327576914,1.26177311792538e-05,5.68716195673147e-05
"Ace_24","Ace","24h",360819,0.187093503338439,7.73789244409509e-05,0.000299753224996966
"Ace_24","Ace","24h",360820,0.148227740274589,0.00138082838424087,0.0040763846458908
"Ace_24","Ace","24h",360823,0.257694673029502,1.10905541859108e-11,1.19387518950995e-10
"Ace_24","Ace","24h",360826,0.26446202761816,0.000578701757207924,0.00185925504953733
"Ace_24","Ace","24h",360829,0.158767026733282,0.00288200199661729,0.0078813711121323
"Ace_24","Ace","24h",360833,0.387607476173035,1.33229132026418e-11,1.41740993239217e-10
"Ace_24","Ace","24h",360847,1.91575536971607,1.94361003255876e-32,1.30356223105347e-30
"Ace_24","Ace","24h",360849,1.74948989170597,9.51398652802836e-35,7.7355620072025e-33
"Ace_24","Ace","24h",360850,0.223673839092987,0.000773054710534969,0.00241128123813243
