"condition","treatment","timepoint","EntrezID","logfc","pval","fdr"
"5FU_6","5FU","6h",24514,-0.3149715757842,1.00681337919048e-08,5.2183625073854e-08
"5FU_6","5FU","6h",24546,-0.458815389959187,0.00396305685514536,0.00832539397658568
"5FU_6","5FU","6h",24558,-1.1223547591779,9.17131388221187e-20,1.48806357014171e-18
"5FU_6","5FU","6h",24561,-0.612781187694062,4.38021902057815e-08,2.08536825729455e-07
"5FU_6","5FU","6h",24577,-1.35362134086832,7.14442554992262e-16,8.12978650927083e-15
"5FU_6","5FU","6h",24600,-0.38551674296894,0.00287207855105297,0.0062258312826966
"5FU_6","5FU","6h",24609,-0.332780916460011,1.09964121043982e-05,3.71154410406799e-05
"5FU_6","5FU","6h",24626,-0.311197412282796,0.000895363762364069,0.0021482235735982
"5FU_6","5FU","6h",24627,-0.428458689603379,4.21085655133394e-08,2.00802117457779e-07
"5FU_6","5FU","6h",24628,-0.595065772086048,0.000100212503039855,0.000285196083152534
"5FU_6","5FU","6h",24629,-0.601137776718861,1.79316794518452e-06,6.81581777858854e-06
"5FU_6","5FU","6h",24653,-1.38028823155015,1.6272283364217e-29,5.1822059536721e-28
"5FU_6","5FU","6h",24660,-0.372197617801704,1.48349853563649e-07,6.5466457512594e-07
"5FU_6","5FU","6h",24667,-0.238156653214612,1.04181272183278e-06,4.10797679586949e-06
"5FU_6","5FU","6h",24669,-0.184381802520375,0.000146224736157041,0.000403135974622006
"5FU_6","5FU","6h",24672,-0.232469103842921,0.000592364209437434,0.00146470756101808
"5FU_6","5FU","6h",24674,-0.519724452162699,2.58265226241315e-20,4.33540034915351e-19
"5FU_6","5FU","6h",24675,-0.208685138728644,7.88210750876736e-06,2.72679326557167e-05
"5FU_6","5FU","6h",24680,-0.310664439889095,0.000331871953340939,0.000859136323181079
"5FU_6","5FU","6h",24699,-0.704359853493654,9.03358662409539e-06,3.09333392590505e-05
"5FU_6","5FU","6h",24703,-0.378558376293696,3.26738803167733e-20,5.44091137448877e-19
"5FU_6","5FU","6h",24747,-0.642108764876342,2.10441840404958e-05,6.72102379910854e-05
"5FU_6","5FU","6h",24750,-0.734569204143168,5.43692642476205e-09,2.91236758137603e-08
