drug,conc,timepoint,background,raw value
5FU,20,48h,1494.111111,457000
5FU,10,48h,1494.111111,529500
5FU,5,48h,1494.111111,518700
5FU,2.5,48h,1494.111111,803200
5FU,1.25,48h,1494.111111,679200
Ace,5,48h,1494.111111,333000
Ace,2.5,48h,1494.111111,525900
Ace,1.25,48h,1494.111111,609800
Ace,0.625,48h,1494.111111,793700
Ace,0.3125,48h,1494.111111,739500
Dox,5,48h,1494.111111,204000
Dox,2.5,48h,1494.111111,257700
Dox,1.25,48h,1494.111111,54430
Dox,0.625,48h,1494.111111,666900
Dox,0.3125,48h,1494.111111,796800
5FU,20,48h,1494.111111,527400
5FU,10,48h,1494.111111,511500
5FU,5,48h,1494.111111,552100
5FU,2.5,48h,1494.111111,600100
5FU,1.25,48h,1494.111111,633700
Ace,5,48h,1494.111111,378600
Ace,2.5,48h,1494.111111,474300
Ace,1.25,48h,1494.111111,613400
Ace,0.625,48h,1494.111111,818500
Ace,0.3125,48h,1494.111111,779100
Dox,5,48h,1494.111111,252200
Dox,2.5,48h,1494.111111,215200
Dox,1.25,48h,1494.111111,55090
Dox,0.625,48h,1494.111111,446700
Dox,0.3125,48h,1494.111111,930100
5FU,20,48h,1494.111111,556100
5FU,10,48h,1494.111111,612600
5FU,5,48h,1494.111111,524000
5FU,2.5,48h,1494.111111,663600
5FU,1.25,48h,1494.111111,670300
DMSO,0,48h,1494.111111,755800
DMSO,0,48h,1494.111111,743000
DMSO,0,48h,1494.111111,759800
